UP003M001;40.7363646;15.2007017
UP003M002;40.7369695;15.2015658
UP003M004;40.7370024;15.2014387
UP003M009;
UP003M010;40.7369365;15.2011111
UP003M030;
UP003M033;40.7370699;15.2012883
UP006M003;40.7458642;15.2028379
UP006M004;40.7459391;15.2027785
UP006M005;40.7458804;15.2028353
UP006M007;40.7459731;15.2027512
UP008M002;40.6586852;15.2896402
UP009M004;40.6542514;15.2952685
UP009M005;40.6542674;15.2952849
UP009M006;40.654299;15.2952625
UP010M002;40.5643475;15.2339364
UP010M003;40.5643446;15.2339756
UP010M004;40.5643891;15.2338884
UP010M005;40.5643966;15.2340178
UP011M003;40.4991417;15.211554
UP011M004;40.4991385;15.2116014
UP012M002;40.4923368;15.2339683
UP012M003;40.4922941;15.2340177
UP013M002;40.46536;15.309446
UP014M002;40.4504608;15.2519425
UP015M006;40.4833926;15.1732319
UP015M008;40.4833941;15.1732158
UP015M009;40.4833331;15.1732332
UP015M010;40.483382;15.1732699
UP016M002;40.4740696;15.1205732
UP017M003;40.4408405;15.0554133
UP017M004;40.4408299;15.0554601
UP018M002;40.387992;15.0455078
UP019M002;40.35427;15.0482912
UP020M002;40.3491447;15.0574411
UP021M002;40.3423204;15.0664792
UP021M003;40.3422694;15.0664356
UP022M002;40.3212839;15.0588115
UP022M003;40.3212504;15.0588354
UP023M003;40.3014413;15.0628661
UP023M004;40.3014415;15.0628793
UP023M005;40.3014368;15.062832
UP024M002;40.2950184;15.0342428
UP025M002;40.2801911;15.0305419
UP025M003;40.2801642;15.0305168
UP026M002;40.2645905;15.0118806
UP027M003;40.2624437;15.000604
UP047M003;40.6285483;15.4312176
UP048M006;40.6770953;15.2725077
UP049M003;40.6430202;15.3746827
UP050M002;40.6387738;15.3826499
